Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Sepal.diff,Sepal.LW,Sepal.Area
5.1,3.5,1.4,0.2,setosa,1.5999999999999996,1.457142857142857,17.849999999999998
4.9,3,1.4,0.2,setosa,1.9000000000000004,1.6333333333333335,14.700000000000001
4.7,3.2,1.3,0.2,setosa,1.5,1.46875,15.040000000000001
4.6,3.1,1.5,0.2,setosa,1.4999999999999996,1.4838709677419353,14.26
5,3.6,1.4,0.2,setosa,1.4,1.3888888888888888,18
5.4,3.9,1.7,0.4,setosa,1.5000000000000004,1.3846153846153848,21.060000000000002
4.6,3.4,1.4,0.3,setosa,1.1999999999999997,1.352941176470588,15.639999999999999
5,3.4,1.5,0.2,setosa,1.6,1.4705882352941178,17
4.4,2.9,1.4,0.2,setosa,1.5000000000000004,1.517241379310345,12.76
4.9,3.1,1.5,0.1,setosa,1.8000000000000003,1.5806451612903227,15.190000000000001
5.4,3.7,1.5,0.2,setosa,1.7000000000000002,1.4594594594594594,19.980000000000004
4.8,3.4,1.6,0.2,setosa,1.4,1.411764705882353,16.32
4.8,3,1.4,0.1,setosa,1.7999999999999998,1.5999999999999999,14.399999999999999
4.3,3,1.1,0.1,setosa,1.2999999999999998,1.4333333333333333,12.899999999999999
5.8,4,1.2,0.2,setosa,1.7999999999999998,1.45,23.2
5.7,4.4,1.5,0.4,setosa,1.2999999999999998,1.2954545454545454,25.080000000000002
5.4,3.9,1.3,0.4,setosa,1.5000000000000004,1.3846153846153848,21.060000000000002
5.1,3.5,1.4,0.3,setosa,1.5999999999999996,1.457142857142857,17.849999999999998
5.7,3.8,1.7,0.3,setosa,1.9000000000000004,1.5000000000000002,21.66
5.1,3.8,1.5,0.3,setosa,1.2999999999999998,1.3421052631578947,19.38
5.4,3.4,1.7,0.2,setosa,2.0000000000000004,1.5882352941176472,18.36
5.1,3.7,1.5,0.4,setosa,1.3999999999999995,1.3783783783783783,18.87
4.6,3.6,1,0.2,setosa,0.9999999999999996,1.2777777777777777,16.56
5.1,3.3,1.7,0.5,setosa,1.7999999999999998,1.5454545454545454,16.83
4.8,3.4,1.9,0.2,setosa,1.4,1.411764705882353,16.32
5,3,1.6,0.2,setosa,2,1.6666666666666667,15
5,3.4,1.6,0.4,setosa,1.6,1.4705882352941178,17
5.2,3.5,1.5,0.2,setosa,1.7000000000000002,1.4857142857142858,18.2
5.2,3.4,1.4,0.2,setosa,1.8000000000000003,1.5294117647058825,17.68
4.7,3.2,1.6,0.2,setosa,1.5,1.46875,15.040000000000001
4.8,3.1,1.6,0.2,setosa,1.6999999999999997,1.5483870967741935,14.879999999999999
5.4,3.4,1.5,0.4,setosa,2.0000000000000004,1.5882352941176472,18.36
5.2,4.1,1.5,0.1,setosa,1.1000000000000005,1.2682926829268295,21.32
5.5,4.2,1.4,0.2,setosa,1.2999999999999998,1.3095238095238095,23.1
4.9,3.1,1.5,0.2,setosa,1.8000000000000003,1.5806451612903227,15.190000000000001
